# Description: This file contains monthly means and monthly anomalies for surface air temperature from ERA5 averaged over the global domain (0–360°E, 90°S–90°N) from 1940 to 2026.,,,,
# Data source: ERA5 monthly gridded data can be downloaded from https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels-monthly-means,,,,,
# Method: Details about the method used to estimate temperature anomalies relative to the 1850-1900 preindustrial reference period can be found in this webpage: https://climate.copernicus.eu/climate-bulletin-about-data-and-analysis,,,,,
# Columns:,,,,,
#   2t: Monthly absolute temperature,,,,,
#   clim_91-20: Monthly climatology for 1991-2020 ,,,,,
#   ano_91-20: Monthly anomaly relative to 1991-2020,,,,,
#   offset_pi: Monthly offset between 1850-1900 and 1991-2020,,,,,
#   ano_pi: Monthly anomaly relative to 1850-1900,,,,,
# Units: deg. C,,,,,
# Last updated: 03 Jun 2026,,,,,
month,2t,clim_91-20,ano_91-20,offset_pi,ano_pi
1940-01-01,11.4967,12.4422,-0.9455,0.9600,0.0145
1940-02-01,11.8722,12.7304,-0.8582,0.9600,0.1018
1940-03-01,12.5240,13.4098,-0.8858,0.9500,0.0642
1940-04-01,13.7569,14.3622,-0.6053,0.9100,0.3047
1940-05-01,14.7455,15.2619,-0.5164,0.8700,0.3536
1940-06-01,15.3148,15.9825,-0.6677,0.8300,0.1623
1940-07-01,15.7794,16.2288,-0.4494,0.8000,0.3506
1940-08-01,15.6127,16.1110,-0.4983,0.8000,0.3017
1940-09-01,14.8116,15.4456,-0.6341,0.8100,0.1759
1940-10-01,13.6332,14.4461,-0.8129,0.8500,0.0371
1940-11-01,12.6111,13.3701,-0.7590,0.8900,0.1310
1940-12-01,12.0656,12.6653,-0.5996,0.9300,0.3304
1941-01-01,11.7609,12.4422,-0.6813,0.9600,0.2787
1941-02-01,12.1864,12.7304,-0.5440,0.9600,0.4160
1941-03-01,12.6954,13.4098,-0.7144,0.9500,0.2356
1941-04-01,13.5549,14.3622,-0.8073,0.9100,0.1027
1941-05-01,14.6544,15.2619,-0.6075,0.8700,0.2625
1941-06-01,15.4902,15.9825,-0.4923,0.8300,0.3377
1941-07-01,15.6862,16.2288,-0.5426,0.8000,0.2574
1941-08-01,15.6370,16.1110,-0.4740,0.8000,0.3260
1941-09-01,14.5922,15.4456,-0.8534,0.8100,-0.0434
1941-10-01,13.9382,14.4461,-0.5079,0.8500,0.3421
1941-11-01,12.5858,13.3701,-0.7843,0.8900,0.1057
1941-12-01,11.9743,12.6653,-0.6910,0.9300,0.2390
1942-01-01,11.8804,12.4422,-0.5617,0.9600,0.3983
1942-02-01,11.9328,12.7304,-0.7976,0.9600,0.1624
1942-03-01,12.7005,13.4098,-0.7093,0.9500,0.2407
1942-04-01,13.5583,14.3622,-0.8039,0.9100,0.1061
1942-05-01,14.6531,15.2619,-0.6088,0.8700,0.2612
1942-06-01,15.3033,15.9825,-0.6792,0.8300,0.1508
1942-07-01,15.5045,16.2288,-0.7243,0.8000,0.0757
1942-08-01,15.3634,16.1110,-0.7476,0.8000,0.0524
1942-09-01,14.7051,15.4456,-0.7405,0.8100,0.0695
1942-10-01,13.7249,14.4461,-0.7212,0.8500,0.1288
1942-11-01,12.4959,13.3701,-0.8742,0.8900,0.0158
1942-12-01,11.8459,12.6653,-0.8194,0.9300,0.1106
1943-01-01,11.6244,12.4422,-0.8178,0.9600,0.1422
1943-02-01,12.0455,12.7304,-0.6849,0.9600,0.2751
1943-03-01,12.5236,13.4098,-0.8862,0.9500,0.0638
1943-04-01,13.5895,14.3622,-0.7727,0.9100,0.1373
1943-05-01,14.6321,15.2619,-0.6298,0.8700,0.2402
1943-06-01,15.2204,15.9825,-0.7621,0.8300,0.0679
1943-07-01,15.4872,16.2288,-0.7416,0.8000,0.0584
1943-08-01,15.3353,16.1110,-0.7757,0.8000,0.0243
1943-09-01,14.7366,15.4456,-0.7090,0.8100,0.1010
1943-10-01,13.7967,14.4461,-0.6494,0.8500,0.2006
1943-11-01,12.6941,13.3701,-0.6760,0.8900,0.2140
1943-12-01,12.0554,12.6653,-0.6099,0.9300,0.3201
1944-01-01,12.0522,12.4422,-0.3900,0.9600,0.5700
1944-02-01,12.2303,12.7304,-0.5002,0.9600,0.4598
1944-03-01,12.9505,13.4098,-0.4593,0.9500,0.4907
1944-04-01,13.7312,14.3622,-0.6310,0.9100,0.2790
1944-05-01,14.6636,15.2619,-0.5983,0.8700,0.2717
1944-06-01,15.4662,15.9825,-0.5163,0.8300,0.3137
1944-07-01,15.6970,16.2288,-0.5318,0.8000,0.2682
1944-08-01,15.6433,16.1110,-0.4677,0.8000,0.3323
1944-09-01,15.0339,15.4456,-0.4117,0.8100,0.3983
1944-10-01,13.9869,14.4461,-0.4591,0.8500,0.3909
1944-11-01,12.6785,13.3701,-0.6916,0.8900,0.1984
1944-12-01,11.9037,12.6653,-0.7616,0.9300,0.1684
1945-01-01,11.6976,12.4422,-0.7446,0.9600,0.2154
1945-02-01,11.8094,12.7304,-0.9210,0.9600,0.0390
1945-03-01,12.5996,13.4098,-0.8102,0.9500,0.1398
1945-04-01,13.6973,14.3622,-0.6649,0.9100,0.2451
1945-05-01,14.5283,15.2619,-0.7336,0.8700,0.1364
1945-06-01,15.4500,15.9825,-0.5325,0.8300,0.2975
1945-07-01,15.5813,16.2288,-0.6475,0.8000,0.1525
1945-08-01,15.7765,16.1110,-0.3345,0.8000,0.4655
1945-09-01,14.9206,15.4456,-0.5250,0.8100,0.2850
1945-10-01,13.8884,14.4461,-0.5576,0.8500,0.2924
1945-11-01,12.6137,13.3701,-0.7564,0.8900,0.1336
1945-12-01,11.7981,12.6653,-0.8672,0.9300,0.0628
1946-01-01,11.8215,12.4422,-0.6207,0.9600,0.3393
1946-02-01,12.0032,12.7304,-0.7272,0.9600,0.2328
1946-03-01,12.7570,13.4098,-0.6528,0.9500,0.2972
1946-04-01,13.7380,14.3622,-0.6242,0.9100,0.2858
1946-05-01,14.7078,15.2619,-0.5542,0.8700,0.3158
1946-06-01,15.3448,15.9825,-0.6377,0.8300,0.1923
1946-07-01,15.6515,16.2288,-0.5773,0.8000,0.2227
1946-08-01,15.4420,16.1110,-0.6690,0.8000,0.1310
1946-09-01,14.7925,15.4456,-0.6531,0.8100,0.1569
1946-10-01,13.6686,14.4461,-0.7775,0.8500,0.0725
1946-11-01,12.6458,13.3701,-0.7243,0.8900,0.1657
1946-12-01,11.8252,12.6653,-0.8401,0.9300,0.0899
1947-01-01,11.8086,12.4422,-0.6335,0.9600,0.3265
1947-02-01,12.0034,12.7304,-0.7270,0.9600,0.2330
1947-03-01,12.8301,13.4098,-0.5797,0.9500,0.3703
1947-04-01,13.8477,14.3622,-0.5145,0.9100,0.3955
1947-05-01,14.6924,15.2619,-0.5695,0.8700,0.3005
1947-06-01,15.4639,15.9825,-0.5186,0.8300,0.3114
1947-07-01,15.6871,16.2288,-0.5417,0.8000,0.2583
1947-08-01,15.4479,16.1110,-0.6631,0.8000,0.1369
1947-09-01,14.7546,15.4456,-0.6910,0.8100,0.1190
1947-10-01,13.8667,14.4461,-0.5794,0.8500,0.2706
1947-11-01,12.6793,13.3701,-0.6908,0.8900,0.1992
1947-12-01,11.8499,12.6653,-0.8154,0.9300,0.1146
1948-01-01,11.7916,12.4422,-0.6506,0.9600,0.3094
1948-02-01,11.8896,12.7304,-0.8408,0.9600,0.1192
1948-03-01,12.5169,13.4098,-0.8929,0.9500,0.0571
1948-04-01,13.6196,14.3622,-0.7426,0.9100,0.1674
1948-05-01,14.7162,15.2619,-0.5457,0.8700,0.3243
1948-06-01,15.3808,15.9825,-0.6017,0.8300,0.2283
1948-07-01,15.6344,16.2288,-0.5944,0.8000,0.2056
1948-08-01,15.5413,16.1110,-0.5697,0.8000,0.2303
1948-09-01,14.7305,15.4456,-0.7152,0.8100,0.0948
1948-10-01,13.8626,14.4461,-0.5835,0.8500,0.2665
1948-11-01,12.7500,13.3701,-0.6201,0.8900,0.2699
1948-12-01,11.7687,12.6653,-0.8965,0.9300,0.0335
1949-01-01,11.8996,12.4422,-0.5426,0.9600,0.4174
1949-02-01,11.9807,12.7304,-0.7497,0.9600,0.2103
1949-03-01,12.7099,13.4098,-0.6999,0.9500,0.2501
1949-04-01,13.6286,14.3622,-0.7336,0.9100,0.1764
1949-05-01,14.6531,15.2619,-0.6088,0.8700,0.2612
1949-06-01,15.2993,15.9825,-0.6832,0.8300,0.1468
1949-07-01,15.6717,16.2288,-0.5571,0.8000,0.2429
1949-08-01,15.4457,16.1110,-0.6653,0.8000,0.1347
1949-09-01,14.8130,15.4456,-0.6326,0.8100,0.1774
1949-10-01,13.7787,14.4461,-0.6674,0.8500,0.1826
1949-11-01,12.7164,13.3701,-0.6537,0.8900,0.2363
1949-12-01,11.9949,12.6653,-0.6704,0.9300,0.2596
1950-01-01,11.5314,12.4422,-0.9107,0.9600,0.0493
1950-02-01,11.7929,12.7304,-0.9375,0.9600,0.0225
1950-03-01,12.6352,13.4098,-0.7746,0.9500,0.1754
1950-04-01,13.5250,14.3622,-0.8372,0.9100,0.0728
1950-05-01,14.5600,15.2619,-0.7019,0.8700,0.1681
1950-06-01,15.3428,15.9825,-0.6397,0.8300,0.1903
1950-07-01,15.5166,16.2288,-0.7122,0.8000,0.0878
1950-08-01,15.2952,16.1110,-0.8158,0.8000,-0.0158
1950-09-01,14.7815,15.4456,-0.6641,0.8100,0.1459
1950-10-01,13.7998,14.4461,-0.6463,0.8500,0.2037
1950-11-01,12.4694,13.3701,-0.9007,0.8900,-0.0107
1950-12-01,12.0033,12.6653,-0.6620,0.9300,0.2680
1951-01-01,11.5238,12.4422,-0.9184,0.9600,0.0416
1951-02-01,11.6836,12.7304,-1.0468,0.9600,-0.0868
1951-03-01,12.5638,13.4098,-0.8460,0.9500,0.1040
1951-04-01,13.6428,14.3622,-0.7194,0.9100,0.1906
1951-05-01,14.8499,15.2619,-0.4120,0.8700,0.4580
1951-06-01,15.4829,15.9825,-0.4996,0.8300,0.3304
1951-07-01,15.5619,16.2288,-0.6669,0.8000,0.1331
1951-08-01,15.6236,16.1110,-0.4874,0.8000,0.3126
1951-09-01,14.9535,15.4456,-0.4921,0.8100,0.3179
1951-10-01,13.9645,14.4461,-0.4816,0.8500,0.3684
1951-11-01,12.7905,13.3701,-0.5796,0.8900,0.3104
1951-12-01,12.2012,12.6653,-0.4641,0.9300,0.4659
1952-01-01,11.9322,12.4422,-0.5100,0.9600,0.4500
1952-02-01,12.1383,12.7304,-0.5921,0.9600,0.3679
1952-03-01,12.6662,13.4098,-0.7436,0.9500,0.2064
1952-04-01,13.6557,14.3622,-0.7065,0.9100,0.2035
1952-05-01,14.6975,15.2619,-0.5644,0.8700,0.3056
1952-06-01,15.4390,15.9825,-0.5435,0.8300,0.2865
1952-07-01,15.6882,16.2288,-0.5405,0.8000,0.2595
