=======================================================================================,
ECMWF ERA5 (0.5x0.5 deg),
Sea Surface Temperature Anomaly (deg C) (1991-2020),
Values averaged across Nino 3.4 (5S-5N; 190E-240E),
---------------------------------------------------------------------------------------,
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org),
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu),
=======================================================================================,
time,sst
194001,0.797
194002,1.097
194003,1.169
194004,0.581
194005,1.482
194006,1.248
194007,1.224
194008,1.332
194009,0.795
194010,0.307
194011,0.918
194012,1.137
194101,1.583
194102,1.827
194103,1.686
194104,1.725
194105,1.122
194106,0.971
194107,0.948
194108,0.902
194109,0.735
194110,0.797
194111,1.250
194112,1.189
194201,0.916
194202,0.558
194203,0.112
194204,0.183
194205,-0.189
194206,-0.359
194207,-0.755
194208,-1.429
194209,-1.521
194210,-1.469
194211,-1.798
194212,-1.592
194301,-1.472
194302,-1.230
194303,-1.541
194304,-1.161
194305,-0.586
194306,-0.096
194307,-0.162
194308,-0.238
194309,-0.319
194310,-0.963
194311,-1.043
194312,-0.969
194401,-0.857
194402,-0.543
194403,0.073
194404,0.049
194405,0.023
194406,-0.103
194407,-0.157
194408,-0.174
194409,-0.446
194410,-0.675
194411,-0.674
194412,-0.631
194501,-0.591
194502,-0.606
194503,-0.828
194504,-0.804
194505,-0.682
194506,0.681
194507,-0.021
194508,-0.584
194509,-0.579
194510,-0.249
194511,-0.516
194512,-0.485
194601,-1.039
194602,-0.332
194603,-1.285
194604,-0.969
194605,-0.355
194606,-0.038
194607,0.122
194608,-0.399
194609,-0.453
194610,0.178
194611,0.160
194612,0.392
194701,0.598
194702,0.298
194703,0.027
194704,-0.546
194705,-0.717
194706,-0.687
194707,-0.257
194708,0.107
194709,-0.115
194710,-0.264
194711,-0.491
194712,0.242
194801,-0.176
194802,0.329
194803,0.267
194804,0.602
194805,0.189
194806,-0.048
194807,-0.197
194808,-0.164
194809,-0.253
194810,-1.016
194811,-0.668
194812,0.330
194901,-0.022
194902,0.872
194903,0.063
194904,-0.058
194905,0.252
194906,-0.158
194907,-0.172
194908,-0.272
194909,-0.911
194910,-0.632
194911,-0.968
194912,-1.035
195001,-0.868
195002,-1.004
195003,-0.855
195004,-0.965
195005,-0.653
195006,-0.601
195007,-0.780
195008,-0.710
195009,-1.164
195010,-0.901
195011,-0.991
195012,-0.589
195101,-0.887
195102,-0.391
195103,-0.511
195104,-0.019
195105,0.618
195106,0.369
195107,1.365
195108,0.904
195109,0.465
195110,0.961
195111,1.150
195112,1.353
195201,1.026
195202,0.954
195203,0.368
195204,0.635
195205,0.110
195206,-0.396
195207,-0.378
195208,-0.280
195209,-0.452
195210,-0.281
195211,-0.195
195212,0.295
195301,0.615
195302,0.552
195303,0.457
195304,0.431
195305,0.878
195306,0.458
195307,0.594
195308,0.569
195309,0.895
195310,0.407
195311,-0.058
195312,0.024
195401,0.502
195402,0.125
195403,-0.182
195404,-0.714
195405,-0.691
195406,-0.690
195407,-1.033
195408,-0.732
195409,-1.159
195410,-0.962
195411,-1.064
195412,-1.062
195501,-1.100
195502,-0.804
195503,-0.696
195504,-1.198
195505,-0.786
195506,-1.086
195507,-0.915
195508,-1.021
195509,-1.412
195510,-2.094
195511,-2.203
195512,-1.836
