date,central_total_C,central_contrefactuel_C,central_total_p5_C,central_total_p95_C,neutre_total_C,la_nina_forte_total_C,plage_combinee_p5_C,plage_combinee_p95_C
2026-07-01,1.431,1.423,1.411,1.501,1.431,1.431,1.411,1.501
2026-08-01,1.459,1.405,1.428,1.522,1.459,1.459,1.428,1.522
2026-09-01,1.505,1.398,1.441,1.552,1.505,1.505,1.441,1.552
2026-10-01,1.566,1.421,1.489,1.625,1.566,1.566,1.489,1.625
2026-11-01,1.649,1.442,1.560,1.723,1.649,1.649,1.560,1.723
2026-12-01,1.793,1.515,1.692,1.885,1.793,1.793,1.692,1.885
2027-01-01,1.897,1.564,1.783,1.995,1.897,1.897,1.783,1.995
2027-02-01,1.898,1.533,1.773,2.005,1.898,1.898,1.773,2.005
2027-03-01,1.911,1.539,1.779,2.030,1.911,1.911,1.779,2.030
2027-04-01,1.896,1.512,1.764,2.007,1.896,1.896,1.764,2.007
2027-05-01,1.888,1.519,1.771,1.994,1.888,1.888,1.771,1.994
2027-06-01,1.802,1.467,1.693,1.891,1.802,1.802,1.693,1.891
2027-07-01,1.747,1.456,1.643,1.829,1.747,1.747,1.643,1.829
2027-08-01,1.655,1.438,1.566,1.717,1.655,1.655,1.566,1.717
2027-09-01,1.565,1.438,1.494,1.615,1.571,1.558,1.492,1.620
2027-10-01,1.505,1.461,1.446,1.542,1.518,1.485,1.429,1.555
2027-11-01,1.489,1.482,1.443,1.533,1.509,1.454,1.410,1.553
2027-12-01,1.532,1.555,1.504,1.596,1.562,1.477,1.453,1.618
