hypothesis,date,model_C,model_p5_C,model_p95_C,trend_C,trend_pct,seasonal_C,seasonal_pct,contrefactuel_C,contrefactuel_p5_C,contrefactuel_p95_C,enso_C,enso_pct
neutre,2027-09-01,1.598,1.501,1.647,1.552,97.085,-0.154,-9.661,1.397,1.355,1.448,0.201,12.577
neutre,2027-10-01,1.566,1.474,1.607,1.554,99.278,-0.134,-8.586,1.420,1.369,1.461,0.146,9.308
neutre,2027-11-01,1.533,1.468,1.573,1.557,101.563,-0.116,-7.582,1.441,1.395,1.486,0.092,6.019
neutre,2027-12-01,1.564,1.522,1.618,1.560,99.755,-0.046,-2.943,1.514,1.483,1.571,0.050,3.188
central,2027-09-01,1.589,1.495,1.637,1.555,97.880,-0.154,-9.717,1.401,1.359,1.452,0.188,11.837
central,2027-10-01,1.544,1.465,1.584,1.558,100.941,-0.134,-8.709,1.424,1.372,1.465,0.120,7.768
central,2027-11-01,1.502,1.446,1.546,1.561,103.931,-0.116,-7.740,1.445,1.399,1.490,0.057,3.809
central,2027-12-01,1.527,1.494,1.583,1.564,102.409,-0.046,-3.014,1.518,1.487,1.574,0.009,0.605
la_nina_forte,2027-09-01,1.576,1.490,1.625,1.563,99.150,-0.154,-9.797,1.408,1.366,1.459,0.168,10.647
la_nina_forte,2027-10-01,1.510,1.442,1.549,1.565,103.648,-0.134,-8.900,1.431,1.380,1.473,0.079,5.252
la_nina_forte,2027-11-01,1.450,1.405,1.495,1.568,108.143,-0.116,-8.016,1.452,1.406,1.497,-0.002,-0.127
la_nina_forte,2027-12-01,1.459,1.435,1.532,1.571,107.712,-0.046,-3.155,1.525,1.494,1.582,-0.066,-4.557
